('student_no::', 528, ':::company_alloted::', 182, ':::index in pref list:::', 37, ':::summing:::', 37)
('student_no::', 644, ':::company_alloted::', 182, ':::index in pref list:::', 28, ':::summing:::', 65)
('student_no::', 937, ':::company_alloted::', 182, ':::index in pref list:::', 18, ':::summing:::', 83)
('student_no::', 807, ':::company_alloted::', 182, ':::index in pref list:::', 4, ':::summing:::', 87)
('student_no::', 589, ':::company_alloted::', 182, ':::index in pref list:::', 16, ':::summing:::', 103)
('student_no::', 124, ':::company_alloted::', 71, ':::index in pref list:::', 20, ':::summing:::', 123)
('student_no::', 479, ':::company_alloted::', 71, ':::index in pref list:::', 23, ':::summing:::', 146)
('student_no::', 539, ':::company_alloted::', 71, ':::index in pref list:::', 19, ':::summing:::', 165)
('student_no::', 870, ':::company_alloted::', 71, ':::index in pref list:::', 7, ':::summing:::', 172)
('student_no::', 145, ':::company_alloted::', 71, ':::index in pref list:::', 33, ':::summing:::', 205)
('student_no::', 546, ':::company_alloted::', 64, ':::index in pref list:::', 31, ':::summing:::', 236)
('student_no::', 248, ':::company_alloted::', 64, ':::index in pref list:::', 35, ':::summing:::', 271)
('student_no::', 687, ':::company_alloted::', 64, ':::index in pref list:::', 31, ':::summing:::', 302)
('student_no::', 250, ':::company_alloted::', 64, ':::index in pref list:::', 0, ':::summing:::', 302)
('student_no::', 466, ':::company_alloted::', 64, ':::index in pref list:::', 23, ':::summing:::', 325)
('student_no::', 607, ':::company_alloted::', 1, ':::index in pref list:::', 28, ':::summing:::', 353)
('student_no::', 158, ':::company_alloted::', 1, ':::index in pref list:::', 7, ':::summing:::', 360)
('student_no::', 809, ':::company_alloted::', 1, ':::index in pref list:::', 22, ':::summing:::', 382)
('student_no::', 11, ':::company_alloted::', 1, ':::index in pref list:::', 35, ':::summing:::', 417)
('student_no::', 154, ':::company_alloted::', 1, ':::index in pref list:::', 23, ':::summing:::', 440)
('student_no::', 140, ':::company_alloted::', 171, ':::index in pref list:::', 27, ':::summing:::', 467)
('student_no::', 540, ':::company_alloted::', 171, ':::index in pref list:::', 32, ':::summing:::', 499)
('student_no::', 770, ':::company_alloted::', 171, ':::index in pref list:::', 0, ':::summing:::', 499)
('student_no::', 115, ':::company_alloted::', 171, ':::index in pref list:::', 15, ':::summing:::', 514)
('student_no::', 710, ':::company_alloted::', 171, ':::index in pref list:::', 18, ':::summing:::', 532)
('student_no::', 421, ':::company_alloted::', 75, ':::index in pref list:::', 8, ':::summing:::', 540)
('student_no::', 506, ':::company_alloted::', 75, ':::index in pref list:::', 24, ':::summing:::', 564)
('student_no::', 688, ':::company_alloted::', 75, ':::index in pref list:::', 24, ':::summing:::', 588)
('student_no::', 18, ':::company_alloted::', 75, ':::index in pref list:::', 6, ':::summing:::', 594)
('student_no::', 966, ':::company_alloted::', 75, ':::index in pref list:::', 15, ':::summing:::', 609)
('student_no::', 239, ':::company_alloted::', 26, ':::index in pref list:::', 30, ':::summing:::', 639)
('student_no::', 340, ':::company_alloted::', 26, ':::index in pref list:::', 34, ':::summing:::', 673)
('student_no::', 95, ':::company_alloted::', 26, ':::index in pref list:::', 31, ':::summing:::', 704)
('student_no::', 194, ':::company_alloted::', 26, ':::index in pref list:::', 25, ':::summing:::', 729)
('student_no::', 764, ':::company_alloted::', 26, ':::index in pref list:::', 33, ':::summing:::', 762)
('student_no::', 713, ':::company_alloted::', 115, ':::index in pref list:::', 27, ':::summing:::', 789)
('student_no::', 413, ':::company_alloted::', 115, ':::index in pref list:::', 38, ':::summing:::', 827)
('student_no::', 642, ':::company_alloted::', 115, ':::index in pref list:::', 35, ':::summing:::', 862)
('student_no::', 450, ':::company_alloted::', 115, ':::index in pref list:::', 17, ':::summing:::', 879)
('student_no::', 914, ':::company_alloted::', 115, ':::index in pref list:::', 7, ':::summing:::', 886)
('student_no::', 519, ':::company_alloted::', 162, ':::index in pref list:::', 6, ':::summing:::', 892)
('student_no::', 842, ':::company_alloted::', 162, ':::index in pref list:::', 20, ':::summing:::', 912)
('student_no::', 931, ':::company_alloted::', 162, ':::index in pref list:::', 20, ':::summing:::', 932)
('student_no::', 886, ':::company_alloted::', 162, ':::index in pref list:::', 14, ':::summing:::', 946)
('student_no::', 243, ':::company_alloted::', 162, ':::index in pref list:::', 8, ':::summing:::', 954)
('student_no::', 312, ':::company_alloted::', 41, ':::index in pref list:::', 20, ':::summing:::', 974)
('student_no::', 578, ':::company_alloted::', 41, ':::index in pref list:::', 32, ':::summing:::', 1006)
('student_no::', 45, ':::company_alloted::', 41, ':::index in pref list:::', 12, ':::summing:::', 1018)
('student_no::', 925, ':::company_alloted::', 41, ':::index in pref list:::', 18, ':::summing:::', 1036)
('student_no::', 229, ':::company_alloted::', 41, ':::index in pref list:::', 34, ':::summing:::', 1070)
('student_no::', 109, ':::company_alloted::', 103, ':::index in pref list:::', 2, ':::summing:::', 1072)
('student_no::', 343, ':::company_alloted::', 103, ':::index in pref list:::', 15, ':::summing:::', 1087)
('student_no::', 90, ':::company_alloted::', 103, ':::index in pref list:::', 1, ':::summing:::', 1088)
('student_no::', 447, ':::company_alloted::', 103, ':::index in pref list:::', 36, ':::summing:::', 1124)
('student_no::', 173, ':::company_alloted::', 103, ':::index in pref list:::', 0, ':::summing:::', 1124)
('student_no::', 653, ':::company_alloted::', 107, ':::index in pref list:::', 24, ':::summing:::', 1148)
('student_no::', 476, ':::company_alloted::', 107, ':::index in pref list:::', 37, ':::summing:::', 1185)
('student_no::', 196, ':::company_alloted::', 107, ':::index in pref list:::', 17, ':::summing:::', 1202)
('student_no::', 998, ':::company_alloted::', 107, ':::index in pref list:::', 9, ':::summing:::', 1211)
('student_no::', 645, ':::company_alloted::', 107, ':::index in pref list:::', 12, ':::summing:::', 1223)
('student_no::', 491, ':::company_alloted::', 145, ':::index in pref list:::', 27, ':::summing:::', 1250)
('student_no::', 943, ':::company_alloted::', 145, ':::index in pref list:::', 24, ':::summing:::', 1274)
('student_no::', 141, ':::company_alloted::', 145, ':::index in pref list:::', 5, ':::summing:::', 1279)
('student_no::', 682, ':::company_alloted::', 145, ':::index in pref list:::', 23, ':::summing:::', 1302)
('student_no::', 40, ':::company_alloted::', 145, ':::index in pref list:::', 5, ':::summing:::', 1307)
('student_no::', 798, ':::company_alloted::', 10, ':::index in pref list:::', 38, ':::summing:::', 1345)
('student_no::', 846, ':::company_alloted::', 10, ':::index in pref list:::', 37, ':::summing:::', 1382)
('student_no::', 428, ':::company_alloted::', 10, ':::index in pref list:::', 8, ':::summing:::', 1390)
('student_no::', 757, ':::company_alloted::', 10, ':::index in pref list:::', 13, ':::summing:::', 1403)
('student_no::', 284, ':::company_alloted::', 10, ':::index in pref list:::', 31, ':::summing:::', 1434)
('student_no::', 388, ':::company_alloted::', 134, ':::index in pref list:::', 36, ':::summing:::', 1470)
('student_no::', 922, ':::company_alloted::', 134, ':::index in pref list:::', 39, ':::summing:::', 1509)
('student_no::', 121, ':::company_alloted::', 134, ':::index in pref list:::', 33, ':::summing:::', 1542)
('student_no::', 150, ':::company_alloted::', 134, ':::index in pref list:::', 15, ':::summing:::', 1557)
('student_no::', 668, ':::company_alloted::', 134, ':::index in pref list:::', 38, ':::summing:::', 1595)
('student_no::', 888, ':::company_alloted::', 143, ':::index in pref list:::', 22, ':::summing:::', 1617)
('student_no::', 801, ':::company_alloted::', 143, ':::index in pref list:::', 38, ':::summing:::', 1655)
('student_no::', 595, ':::company_alloted::', 143, ':::index in pref list:::', 18, ':::summing:::', 1673)
('student_no::', 532, ':::company_alloted::', 143, ':::index in pref list:::', 4, ':::summing:::', 1677)
('student_no::', 892, ':::company_alloted::', 143, ':::index in pref list:::', 20, ':::summing:::', 1697)
('student_no::', 12, ':::company_alloted::', 165, ':::index in pref list:::', 5, ':::summing:::', 1702)
('student_no::', 274, ':::company_alloted::', 165, ':::index in pref list:::', 31, ':::summing:::', 1733)
('student_no::', 804, ':::company_alloted::', 165, ':::index in pref list:::', 36, ':::summing:::', 1769)
('student_no::', 451, ':::company_alloted::', 165, ':::index in pref list:::', 4, ':::summing:::', 1773)
('student_no::', 324, ':::company_alloted::', 165, ':::index in pref list:::', 0, ':::summing:::', 1773)
('student_no::', 350, ':::company_alloted::', 97, ':::index in pref list:::', 24, ':::summing:::', 1797)
('student_no::', 289, ':::company_alloted::', 97, ':::index in pref list:::', 27, ':::summing:::', 1824)
('student_no::', 414, ':::company_alloted::', 97, ':::index in pref list:::', 5, ':::summing:::', 1829)
('student_no::', 358, ':::company_alloted::', 97, ':::index in pref list:::', 22, ':::summing:::', 1851)
('student_no::', 745, ':::company_alloted::', 97, ':::index in pref list:::', 16, ':::summing:::', 1867)
('student_no::', 398, ':::company_alloted::', 131, ':::index in pref list:::', 32, ':::summing:::', 1899)
('student_no::', 707, ':::company_alloted::', 131, ':::index in pref list:::', 30, ':::summing:::', 1929)
