('student_no::', 903, ':::company_alloted::', 119, ':::index in pref list:::', 0, ':::summing:::', 0)
('student_no::', 354, ':::company_alloted::', 119, ':::index in pref list:::', 0, ':::summing:::', 0)
('student_no::', 450, ':::company_alloted::', 119, ':::index in pref list:::', 137, ':::summing:::', 137)
('student_no::', 443, ':::company_alloted::', 119, ':::index in pref list:::', 197, ':::summing:::', 334)
('student_no::', 339, ':::company_alloted::', 119, ':::index in pref list:::', 0, ':::summing:::', 334)
('student_no::', 640, ':::company_alloted::', 86, ':::index in pref list:::', 85, ':::summing:::', 419)
('student_no::', 801, ':::company_alloted::', 86, ':::index in pref list:::', 28, ':::summing:::', 447)
('student_no::', 954, ':::company_alloted::', 86, ':::index in pref list:::', 1, ':::summing:::', 448)
('student_no::', 733, ':::company_alloted::', 86, ':::index in pref list:::', 19, ':::summing:::', 467)
('student_no::', 544, ':::company_alloted::', 86, ':::index in pref list:::', 11, ':::summing:::', 478)
('student_no::', 850, ':::company_alloted::', 64, ':::index in pref list:::', 1, ':::summing:::', 479)
('student_no::', 146, ':::company_alloted::', 64, ':::index in pref list:::', 1, ':::summing:::', 480)
('student_no::', 749, ':::company_alloted::', 64, ':::index in pref list:::', 0, ':::summing:::', 480)
('student_no::', 449, ':::company_alloted::', 64, ':::index in pref list:::', 193, ':::summing:::', 673)
('student_no::', 100, ':::company_alloted::', 64, ':::index in pref list:::', 67, ':::summing:::', 740)
('student_no::', 507, ':::company_alloted::', 21, ':::index in pref list:::', 115, ':::summing:::', 855)
('student_no::', 206, ':::company_alloted::', 21, ':::index in pref list:::', 0, ':::summing:::', 855)
('student_no::', 263, ':::company_alloted::', 21, ':::index in pref list:::', 2, ':::summing:::', 857)
('student_no::', 948, ':::company_alloted::', 21, ':::index in pref list:::', 3, ':::summing:::', 860)
('student_no::', 36, ':::company_alloted::', 21, ':::index in pref list:::', 87, ':::summing:::', 947)
('student_no::', 918, ':::company_alloted::', 7, ':::index in pref list:::', 1, ':::summing:::', 948)
('student_no::', 529, ':::company_alloted::', 7, ':::index in pref list:::', 59, ':::summing:::', 1007)
('student_no::', 609, ':::company_alloted::', 7, ':::index in pref list:::', 103, ':::summing:::', 1110)
('student_no::', 209, ':::company_alloted::', 7, ':::index in pref list:::', 0, ':::summing:::', 1110)
('student_no::', 6, ':::company_alloted::', 7, ':::index in pref list:::', 1, ':::summing:::', 1111)
('student_no::', 680, ':::company_alloted::', 180, ':::index in pref list:::', 7, ':::summing:::', 1118)
('student_no::', 394, ':::company_alloted::', 180, ':::index in pref list:::', 0, ':::summing:::', 1118)
('student_no::', 823, ':::company_alloted::', 180, ':::index in pref list:::', 1, ':::summing:::', 1119)
('student_no::', 687, ':::company_alloted::', 180, ':::index in pref list:::', 174, ':::summing:::', 1293)
('student_no::', 480, ':::company_alloted::', 180, ':::index in pref list:::', 28, ':::summing:::', 1321)
('student_no::', 204, ':::company_alloted::', 18, ':::index in pref list:::', 46, ':::summing:::', 1367)
('student_no::', 230, ':::company_alloted::', 18, ':::index in pref list:::', 0, ':::summing:::', 1367)
('student_no::', 891, ':::company_alloted::', 18, ':::index in pref list:::', 1, ':::summing:::', 1368)
('student_no::', 921, ':::company_alloted::', 18, ':::index in pref list:::', 1, ':::summing:::', 1369)
('student_no::', 78, ':::company_alloted::', 18, ':::index in pref list:::', 101, ':::summing:::', 1470)
('student_no::', 430, ':::company_alloted::', 8, ':::index in pref list:::', 1, ':::summing:::', 1471)
('student_no::', 357, ':::company_alloted::', 8, ':::index in pref list:::', 117, ':::summing:::', 1588)
('student_no::', 624, ':::company_alloted::', 8, ':::index in pref list:::', 3, ':::summing:::', 1591)
('student_no::', 8, ':::company_alloted::', 8, ':::index in pref list:::', 10, ':::summing:::', 1601)
('student_no::', 185, ':::company_alloted::', 8, ':::index in pref list:::', 144, ':::summing:::', 1745)
('student_no::', 223, ':::company_alloted::', 129, ':::index in pref list:::', 0, ':::summing:::', 1745)
('student_no::', 115, ':::company_alloted::', 129, ':::index in pref list:::', 80, ':::summing:::', 1825)
('student_no::', 606, ':::company_alloted::', 129, ':::index in pref list:::', 122, ':::summing:::', 1947)
('student_no::', 79, ':::company_alloted::', 129, ':::index in pref list:::', 104, ':::summing:::', 2051)
('student_no::', 393, ':::company_alloted::', 129, ':::index in pref list:::', 0, ':::summing:::', 2051)
('student_no::', 208, ':::company_alloted::', 168, ':::index in pref list:::', 116, ':::summing:::', 2167)
('student_no::', 627, ':::company_alloted::', 168, ':::index in pref list:::', 2, ':::summing:::', 2169)
('student_no::', 70, ':::company_alloted::', 168, ':::index in pref list:::', 2, ':::summing:::', 2171)
('student_no::', 281, ':::company_alloted::', 168, ':::index in pref list:::', 142, ':::summing:::', 2313)
('student_no::', 232, ':::company_alloted::', 168, ':::index in pref list:::', 124, ':::summing:::', 2437)
('student_no::', 95, ':::company_alloted::', 88, ':::index in pref list:::', 122, ':::summing:::', 2559)
('student_no::', 129, ':::company_alloted::', 88, ':::index in pref list:::', 1, ':::summing:::', 2560)
('student_no::', 774, ':::company_alloted::', 88, ':::index in pref list:::', 182, ':::summing:::', 2742)
('student_no::', 279, ':::company_alloted::', 88, ':::index in pref list:::', 1, ':::summing:::', 2743)
('student_no::', 527, ':::company_alloted::', 88, ':::index in pref list:::', 95, ':::summing:::', 2838)
('student_no::', 693, ':::company_alloted::', 121, ':::index in pref list:::', 0, ':::summing:::', 2838)
('student_no::', 91, ':::company_alloted::', 121, ':::index in pref list:::', 0, ':::summing:::', 2838)
('student_no::', 52, ':::company_alloted::', 121, ':::index in pref list:::', 98, ':::summing:::', 2936)
('student_no::', 444, ':::company_alloted::', 121, ':::index in pref list:::', 0, ':::summing:::', 2936)
('student_no::', 465, ':::company_alloted::', 121, ':::index in pref list:::', 3, ':::summing:::', 2939)
('student_no::', 720, ':::company_alloted::', 109, ':::index in pref list:::', 114, ':::summing:::', 3053)
('student_no::', 455, ':::company_alloted::', 109, ':::index in pref list:::', 5, ':::summing:::', 3058)
('student_no::', 367, ':::company_alloted::', 109, ':::index in pref list:::', 0, ':::summing:::', 3058)
('student_no::', 474, ':::company_alloted::', 109, ':::index in pref list:::', 185, ':::summing:::', 3243)
('student_no::', 858, ':::company_alloted::', 109, ':::index in pref list:::', 150, ':::summing:::', 3393)
('student_no::', 905, ':::company_alloted::', 13, ':::index in pref list:::', 109, ':::summing:::', 3502)
('student_no::', 278, ':::company_alloted::', 13, ':::index in pref list:::', 1, ':::summing:::', 3503)
('student_no::', 558, ':::company_alloted::', 13, ':::index in pref list:::', 8, ':::summing:::', 3511)
('student_no::', 305, ':::company_alloted::', 13, ':::index in pref list:::', 1, ':::summing:::', 3512)
('student_no::', 41, ':::company_alloted::', 13, ':::index in pref list:::', 77, ':::summing:::', 3589)
('student_no::', 576, ':::company_alloted::', 152, ':::index in pref list:::', 37, ':::summing:::', 3626)
('student_no::', 710, ':::company_alloted::', 152, ':::index in pref list:::', 0, ':::summing:::', 3626)
('student_no::', 106, ':::company_alloted::', 152, ':::index in pref list:::', 1, ':::summing:::', 3627)
('student_no::', 40, ':::company_alloted::', 152, ':::index in pref list:::', 1, ':::summing:::', 3628)
('student_no::', 592, ':::company_alloted::', 152, ':::index in pref list:::', 24, ':::summing:::', 3652)
('student_no::', 22, ':::company_alloted::', 188, ':::index in pref list:::', 6, ':::summing:::', 3658)
('student_no::', 667, ':::company_alloted::', 188, ':::index in pref list:::', 154, ':::summing:::', 3812)
('student_no::', 798, ':::company_alloted::', 188, ':::index in pref list:::', 102, ':::summing:::', 3914)
('student_no::', 664, ':::company_alloted::', 188, ':::index in pref list:::', 1, ':::summing:::', 3915)
('student_no::', 221, ':::company_alloted::', 188, ':::index in pref list:::', 0, ':::summing:::', 3915)
('student_no::', 992, ':::company_alloted::', 61, ':::index in pref list:::', 1, ':::summing:::', 3916)
('student_no::', 656, ':::company_alloted::', 61, ':::index in pref list:::', 0, ':::summing:::', 3916)
('student_no::', 411, ':::company_alloted::', 61, ':::index in pref list:::', 41, ':::summing:::', 3957)
('student_no::', 825, ':::company_alloted::', 61, ':::index in pref list:::', 135, ':::summing:::', 4092)
('student_no::', 457, ':::company_alloted::', 61, ':::index in pref list:::', 0, ':::summing:::', 4092)
('student_no::', 836, ':::company_alloted::', 140, ':::index in pref list:::', 0, ':::summing:::', 4092)
('student_no::', 336, ':::company_alloted::', 140, ':::index in pref list:::', 0, ':::summing:::', 4092)
('student_no::', 923, ':::company_alloted::', 140, ':::index in pref list:::', 14, ':::summing:::', 4106)
('student_no::', 18, ':::company_alloted::', 140, ':::index in pref list:::', 1, ':::summing:::', 4107)
('student_no::', 384, ':::company_alloted::', 140, ':::index in pref list:::', 73, ':::summing:::', 4180)
('student_no::', 64, ':::company_alloted::', 174, ':::index in pref list:::', 0, ':::summing:::', 4180)
('student_no::', 878, ':::company_alloted::', 174, ':::index in pref list:::', 0, ':::summing:::', 4180)
('student_no::', 818, ':::company_alloted::', 174, ':::index in pref list:::', 1, ':::summing:::', 4181)
('student_no::', 235, ':::company_alloted::', 174, ':::index in pref list:::', 157, ':::summing:::', 4338)
('student_no::', 324, ':::company_alloted::', 174, ':::index in pref list:::', 3, ':::summing:::', 4341)
('student_no::', 9, ':::company_alloted::', 37, ':::index in pref list:::', 111, ':::summing:::', 4452)
('student_no::', 886, ':::company_alloted::', 37, ':::index in pref list:::', 1, ':::summing:::', 4453)
('student_no::', 405, ':::company_alloted::', 37, ':::index in pref list:::', 0, ':::summing:::', 4453)
('student_no::', 192, ':::company_alloted::', 37, ':::index in pref list:::', 186, ':::summing:::', 4639)
('student_no::', 4, ':::company_alloted::', 37, ':::index in pref list:::', 0, ':::summing:::', 4639)
('student_no::', 575, ':::company_alloted::', 73, ':::index in pref list:::', 141, ':::summing:::', 4780)
('student_no::', 704, ':::company_alloted::', 73, ':::index in pref list:::', 153, ':::summing:::', 4933)
('student_no::', 581, ':::company_alloted::', 73, ':::index in pref list:::', 188, ':::summing:::', 5121)
('student_no::', 187, ':::company_alloted::', 73, ':::index in pref list:::', 0, ':::summing:::', 5121)
('student_no::', 220, ':::company_alloted::', 73, ':::index in pref list:::', 0, ':::summing:::', 5121)
('student_no::', 835, ':::company_alloted::', 165, ':::index in pref list:::', 103, ':::summing:::', 5224)
('student_no::', 442, ':::company_alloted::', 165, ':::index in pref list:::', 3, ':::summing:::', 5227)
('student_no::', 889, ':::company_alloted::', 165, ':::index in pref list:::', 0, ':::summing:::', 5227)
('student_no::', 452, ':::company_alloted::', 165, ':::index in pref list:::', 0, ':::summing:::', 5227)
('student_no::', 963, ':::company_alloted::', 165, ':::index in pref list:::', 100, ':::summing:::', 5327)
('student_no::', 249, ':::company_alloted::', 2, ':::index in pref list:::', 108, ':::summing:::', 5435)
('student_no::', 509, ':::company_alloted::', 2, ':::index in pref list:::', 0, ':::summing:::', 5435)
('student_no::', 698, ':::company_alloted::', 2, ':::index in pref list:::', 73, ':::summing:::', 5508)
('student_no::', 292, ':::company_alloted::', 2, ':::index in pref list:::', 114, ':::summing:::', 5622)
('student_no::', 965, ':::company_alloted::', 2, ':::index in pref list:::', 0, ':::summing:::', 5622)
('student_no::', 51, ':::company_alloted::', 10, ':::index in pref list:::', 53, ':::summing:::', 5675)
('student_no::', 145, ':::company_alloted::', 10, ':::index in pref list:::', 2, ':::summing:::', 5677)
('student_no::', 605, ':::company_alloted::', 10, ':::index in pref list:::', 0, ':::summing:::', 5677)
('student_no::', 152, ':::company_alloted::', 10, ':::index in pref list:::', 153, ':::summing:::', 5830)
('student_no::', 722, ':::company_alloted::', 10, ':::index in pref list:::', 1, ':::summing:::', 5831)
('student_no::', 786, ':::company_alloted::', 90, ':::index in pref list:::', 144, ':::summing:::', 5975)
('student_no::', 247, ':::company_alloted::', 90, ':::index in pref list:::', 0, ':::summing:::', 5975)
('student_no::', 224, ':::company_alloted::', 90, ':::index in pref list:::', 0, ':::summing:::', 5975)
('student_no::', 768, ':::company_alloted::', 90, ':::index in pref list:::', 142, ':::summing:::', 6117)
('student_no::', 66, ':::company_alloted::', 90, ':::index in pref list:::', 6, ':::summing:::', 6123)
('student_no::', 548, ':::company_alloted::', 56, ':::index in pref list:::', 138, ':::summing:::', 6261)
('student_no::', 851, ':::company_alloted::', 56, ':::index in pref list:::', 1, ':::summing:::', 6262)
('student_no::', 590, ':::company_alloted::', 56, ':::index in pref list:::', 124, ':::summing:::', 6386)
('student_no::', 883, ':::company_alloted::', 56, ':::index in pref list:::', 0, ':::summing:::', 6386)
('student_no::', 582, ':::company_alloted::', 56, ':::index in pref list:::', 161, ':::summing:::', 6547)
('student_no::', 709, ':::company_alloted::', 44, ':::index in pref list:::', 177, ':::summing:::', 6724)
('student_no::', 755, ':::company_alloted::', 44, ':::index in pref list:::', 0, ':::summing:::', 6724)
('student_no::', 837, ':::company_alloted::', 44, ':::index in pref list:::', 124, ':::summing:::', 6848)
('student_no::', 326, ':::company_alloted::', 44, ':::index in pref list:::', 3, ':::summing:::', 6851)
('student_no::', 500, ':::company_alloted::', 44, ':::index in pref list:::', 8, ':::summing:::', 6859)
('student_no::', 757, ':::company_alloted::', 49, ':::index in pref list:::', 0, ':::summing:::', 6859)
('student_no::', 477, ':::company_alloted::', 49, ':::index in pref list:::', 2, ':::summing:::', 6861)
('student_no::', 150, ':::company_alloted::', 49, ':::index in pref list:::', 130, ':::summing:::', 6991)
('student_no::', 618, ':::company_alloted::', 49, ':::index in pref list:::', 0, ':::summing:::', 6991)
('student_no::', 966, ':::company_alloted::', 49, ':::index in pref list:::', 176, ':::summing:::', 7167)
('student_no::', 297, ':::company_alloted::', 99, ':::index in pref list:::', 58, ':::summing:::', 7225)
('student_no::', 840, ':::company_alloted::', 99, ':::index in pref list:::', 0, ':::summing:::', 7225)
('student_no::', 287, ':::company_alloted::', 99, ':::index in pref list:::', 76, ':::summing:::', 7301)
('student_no::', 579, ':::company_alloted::', 99, ':::index in pref list:::', 2, ':::summing:::', 7303)
('student_no::', 84, ':::company_alloted::', 99, ':::index in pref list:::', 142, ':::summing:::', 7445)
('student_no::', 490, ':::company_alloted::', 36, ':::index in pref list:::', 1, ':::summing:::', 7446)
